Student_Rating,Teaching_Experience,Subject_Expertise_Level,Course_Difficulty,Student_Feedback,Teacher_Availability,Recommendation,Teacher_Name,Subject
7,16,2,2,5,30,1,Mr. Brown,History
4,11,2,4,3,9,3,Ms. Lee,History
8,23,2,4,3,9,2,Mr. Brown,Art
5,11,3,1,1,21,1,Ms. Lee,History
7,17,2,3,1,23,2,Ms. Smith,Literature
10,4,3,2,4,16,1,Mr. Johnson,Science
3,16,1,3,1,18,3,Mr. Johnson,Science
7,12,3,2,3,29,3,Ms. Wilson,Science
8,23,3,2,4,1,3,Ms. Smith,History
5,29,3,3,3,23,3,Ms. Wilson,Literature
4,5,5,2,5,24,3,Ms. Wilson,Mathematics
8,27,2,1,4,29,1,Mr. Johnson,Art
8,29,3,3,4,18,3,Ms. Lee,Mathematics
3,13,4,3,5,24,1,Mr. Johnson,Literature
6,13,2,3,2,2,1,Ms. Smith,Science
5,3,2,1,1,18,3,Mr. Brown,Mathematics
2,29,2,2,5,26,2,Ms. Smith,History
8,9,2,1,2,22,1,Mr. Johnson,Science
6,18,5,3,3,40,1,Ms. Wilson,Mathematics
2,18,4,3,5,25,1,Mr. Brown,Science
5,29,4,2,1,27,3,Mr. Johnson,Art
1,29,3,3,2,16,1,Ms. Lee,Mathematics
10,15,4,3,5,9,3,Mr. Johnson,Literature
6,24,4,3,2,31,3,Ms. Smith,History
9,21,5,5,2,33,2,Mr. Johnson,Literature
1,15,1,5,4,23,1,Mr. Johnson,History
10,7,4,2,2,23,3,Ms. Smith,Science
3,9,4,5,5,16,2,Ms. Lee,History
7,27,3,5,3,35,1,Mr. Brown,History
4,16,1,3,2,20,3,Mr. Johnson,Art
9,2,5,1,1,5,1,Ms. Wilson,Literature
3,23,3,5,1,25,2,Mr. Brown,History
5,23,1,5,3,31,2,Ms. Wilson,Art
3,20,5,3,5,16,2,Ms. Wilson,History
7,13,2,3,1,7,1,Ms. Smith,Science
5,23,4,5,5,38,3,Mr. Brown,Mathematics
9,4,4,3,4,8,3,Mr. Brown,History
7,14,5,1,5,4,1,Ms. Lee,Literature
2,9,2,3,1,33,3,Mr. Brown,History
4,14,3,5,5,30,3,Mr. Brown,Mathematics
9,11,3,5,5,25,4,Mr. Brown,History
2,20,2,4,5,32,2,Ms. Lee,Art
10,13,3,1,2,31,1,Ms. Smith,Mathematics
9,29,2,2,4,6,2,Ms. Wilson,Science
10,17,1,4,1,20,3,Mr. Brown,Science
5,22,5,2,5,31,1,Mr. Johnson,History
2,5,4,5,1,9,1,Mr. Brown,Science
4,4,4,2,5,7,2,Ms. Wilson,Art
7,27,5,2,3,2,1,Mr. Brown,Science
8,29,2,5,1,37,3,Mr. Brown,History
3,13,4,2,1,19,2,Ms. Wilson,History
1,12,1,3,2,27,1,Ms. Smith,Mathematics
4,3,1,5,4,1,3,Ms. Smith,History
2,4,1,5,1,10,1,Ms. Smith,History
8,17,5,2,4,37,5,Ms. Lee,Mathematics
4,21,2,3,5,9,3,Ms. Lee,History
2,18,3,5,2,27,2,Mr. Brown,Literature
6,15,5,1,4,15,2,Ms. Smith,Art
6,7,1,2,5,1,2,Ms. Smith,Science
10,9,3,1,3,19,2,Ms. Lee,Mathematics
4,14,5,5,1,38,2,Ms. Lee,Art
6,22,2,5,3,12,2,Ms. Wilson,History
2,22,2,3,5,15,1,Mr. Brown,Mathematics
10,10,2,3,1,35,1,Ms. Lee,History
2,28,5,5,4,33,3,Ms. Lee,History
10,10,2,3,3,29,3,Ms. Lee,Mathematics
4,19,1,4,4,16,3,Mr. Brown,Art
8,24,5,4,5,4,3,Ms. Wilson,Art
7,13,3,1,4,16,1,Mr. Brown,History
9,3,4,4,1,26,3,Mr. Brown,Art
8,16,4,2,2,31,2,Ms. Smith,Art
5,11,1,2,2,40,2,Ms. Wilson,History
2,4,1,4,4,20,2,Ms. Lee,History
5,3,3,4,4,13,3,Mr. Johnson,Mathematics
8,2,5,1,5,34,3,Mr. Johnson,Literature
10,15,1,3,4,25,1,Ms. Wilson,Mathematics
9,1,4,1,1,40,1,Mr. Johnson,Art
9,1,5,3,3,10,3,Ms. Lee,Art
1,1,3,3,4,39,1,Mr. Brown,Science
9,26,1,3,5,36,3,Mr. Johnson,Literature
7,21,4,1,5,17,3,Ms. Smith,Science
9,10,2,1,5,32,3,Ms. Lee,Mathematics
8,1,1,4,4,28,2,Mr. Johnson,Mathematics
1,16,2,2,5,23,3,Ms. Wilson,History
8,5,5,2,3,38,1,Ms. Smith,Literature
